name;desc;videocodec;framerate;resolution;videoBitrate;audiocodec;samplerate;channel;audiobitrate;image
iPhone H.264 Video(*.mp4);H.264 profile optimized for iPhone;0#0;0|1#1;0|1|2|3|4|5|6|7#7;0|1|2|3|4|5|6|7|8|9|10#6;0#0;0|1|2|3#2;0|1#1;0|1|2|3|4|5|6|7|8|9|10#7;iphone
iPhone H.264 HD Video(*.mp4);HD video profile optimized for iPhone;0#0;0|1#1;8|9|10#9;11|12|13|14|15|16|17|18#15;0#0;0|1|2|3#2;0|1#1;0|1|2|3|4|5|6|7|8|9|10#8;iphone
iPhone H.264 Video for TV(*.mp4);H.264 profile optimized for iPhone TV-Out;0#0;0|1#1;0|1|2|3|4|5|6|7|8#4;0|1|2|3|4|5|6|7|8|9|10#8;0#0;0|1|2|3#2;0|1#1;0|1|2|3|4|5|6|7|8|9|10#7;iphone
iPhone MPEG4 Video(*.mp4);MPEG4 profile optimized for iPhone;0|1#1;0|1#1;0|1|2|3|4|5|6|7#3;0|1|2|3|4|5|6|7|8|9|10#7;0#0;0|1|2|3#2;0|1#1;0|1|2|3|4|5|6|7|8|9|10#6;iphone
iPhone MPEG4 Video for TV(*.mp4);MPEG4 profile optimized for iPhone TV-Out;0|1#1;0|1#1;0|1|2|3|4|5|6|7|8#4;0|1|2|3|4|5|6|7|8|9|10#7;0#0;0|1|2|3#2;0|1#1;0|1|2|3|4|5|6|7|8|9|10#7;iphone
iPhone7 Plus/7 H.264 Video(*.mp4);H.264 profile optimized for iPhone7 Plus/7;0#0;0|1#1;0|1|2|3|4|5|6|7|8#4;0|1|2|3|4|5|6|7|8|9|10#7;0#0;0|1|2|3#2;0|1#1;0|1|2|3|4|5|6|7|8|9|10#7;iphone
iPhone7 Plus/7 H.264 HD Video(*.mp4);HD video profile optimized for iPhone7 Plus/7;0#0;0|1#1;8|9|10#10;11|12|13|14|15|16|17|18#15;0#0;0|1|2|3#2;0|1#1;0|1|2|3|4|5|6|7|8|9|10#7;iphone
iPhone7 Plus/7 H.264 720P Video(*.mp4);H.264 720P profile optimized for iPhone7 Plus/7;0#0;0|1#1;7|8#8;11|12|13|14|15|16|17|18#15;0#0;0|1|2|3#2;0|1#1;0|1|2|3|4|5|6|7|8|9|10#7;iphone
iPhone7 Plus/7 MPEG4 Video(*.mp4);MPEG4 profile optimized for iPhone7 Plus/7;0|1#1;0|1#1;0|1|2|3|4|5|6|7#4;0|1|2|3|4|5|6|7|8|9|10#9;0#0;0|1|2|3#2;0|1#1;0|1|2|3|4|5|6|7|8|9|10#6;iphone
iPhone7 Plus/7 M4V Video(*.m4v);M4V profile optimized for iPhone7 Plus/7;0|1#1;0|1#1;0|1|2|3|4|5|6|7#4;0|1|2|3|4|5|6|7|8|9|10#9;0#0;0|1|2|3#2;0|1#1;0|1|2|3|4|5|6|7|8|9|10#6;iphone
iPhone7 Plus/7 MOV(640x480)Video(*.mov);MOV(640x480)video optimized for iPhone7 Plus/7;0|1#1;0|1#1;0|1|2|3|4|5|6|7#4;0|1|2|3|4|5|6|7|8|9|10#9;0#0;0|1|2|3#2;0|1#1;0|1|2|3|4|5|6|7|8|9|10#7;iphone
