Type,Index,IsAuto,VideoEncoder,Resolution,FrameRate,VideoBitRate,AudioEncoder,Channel,SampleRate,AudioBitRate,Extension,image,Type
iPhoneX,0,1,H264|MPEG-4,320*240|480*320|640*480|720*480|854*480|1334*750|1280*720|1920*1080,24|30,6|7|7|9|8|8|6|5,AAC,1|2,44100|48000,96|128|160|256,mp4,iphoneX,Video
iPhone8/8Plus,1,1,H264|MPEG-4,320*240|480*320|640*480|720*480|854*480|1334*750|1280*720|1920*1080,24|30,6|7|7|9|8|8|6|5,AAC,1|2,44100|48000,96|128|160|256,mp4,iphone8,Video
iPhone7/7Plus,2,1,H264|MPEG-4,320*240|480*320|640*480|720*480|854*480|1334*750|1280*720|1920*1080,24|30,6|7|7|9|8|8|6|5,AAC,1|2,44100|48000,96|128|160,mp4,iphone7,Video
iPhone6/6Plus,3,1,H264|MPEG-4,320*240|480*320|640*480|720*480|854*480|1334*750|1280*720|1920*1080,24|30,6|7|7|9|8|8|6|5,AAC,1|2,44100|48000,96|128|160,mp4,iphone6,Video
iPhone 5/5s/5c,4,1,H264|MPEG-4,320*240|480*320|640*480|720*480|854*480|1136*640|1280*720|1920*1080,24|30,6|7|7|9|8|8|6|5,AAC,1|2,44100|48000,96|128|160,mp4,iphone5,Video
iPad mini,5,1,H264|MPEG-4,320*240|480*320|640*480|720*480|854*480|1136*640|1280*720|1920*1080,24|30,6|7|7|9|8|8|6|5,AAC,1|2,44100|48000,96|128|160,mp4,ipadmini,Video
iPad mini 2,6,1,H264|MPEG-4,320*240|480*320|640*480|720*480|854*480|1136*640|1280*720|1920*1080,24|30,6|7|7|9|8|8|6|5,AAC,1|2,44100|48000,96|128|160,mp4,ipadmini,Video
iPad Air,7,1,H264|MPEG-4,320*240|480*320|640*480|720*480|768*576|960*640|1280*720|1920*1080,24|30,6|7|7|9|7|8|6|5,AAC,1|2,44100|48000,96|128|160,mp4,ipadair,Video
iPad 4,8,1,H264|MPEG-4,320*240|480*320|640*480|720*480|768*576|960*640|1280*720|1920*1080,24|30,6|7|7|9|7|8|6|5,AAC,1|2,44100|48000,96|128|160,mp4,ipadair,Video
iPad 2,9,1,H264|MPEG-4,320*240|480*320|640*480|720*480|768*576|960*640|1280*720|1920*1080,24|30,6|7|7|9|7|8|6|5,AAC,1|2,44100|48000,96|128|160,mp4,ipad,Video
The New iPad,10,1,H264|MPEG-4,320*240|480*320|640*480|720*480|768*576|960*640|1280*720|1920*1080,24|30,6|7|7|9|7|8|6|5,AAC,1|2,44100|48000,96|128|160,mp4,ipad,Video
iPod Touch 5,11,1,H264|MPEG-4,320*240|480*320|640*480|720*480|854*480|1136*640|1280*720,24|30,6|7|7|9|8|8|6,AAC,1|2,44100|48000,96|128|160,mp4,ipodTouch,Video
iPod Touch 4,12,1,H264|MPEG-4,320*240|480*320|640*480|720*480|960*640|1280*720,24|30,6|7|7|9|7|6,AAC,1|2,44100|48000,96|128|160,mp4,ipodTouch,Video
iPod Touch 1-3,13,1,H264|MPEG-4,320*240|640*480,24|30,6|6,AAC,1|2,44100|48000,96|128,mp4,ipodTouch,Video
